GEO UID ,Census Tract name ,Total Education,No certificate,High (secondary) school,Postsecondary  Education
5350128.02,0128.02,8505,140,850,7515
5350128.04,0128.04,3085,75,385,2625
5350128.05,0128.05,660,0,70,585
5350128.06,0128.06,3560,40,385,3135
5350129,0129.00,3280,45,355,2870
5350130,0130.00,1720,30,205,1490
5350131,0131.00,2590,80,285,2225
5350132,0132.00,2790,65,325,2390
5350133,0133.00,3895,175,715,3005
5350134,0134.00,1495,25,110,1365
5350135,0135.00,4210,80,420,3715
5350136.01,0136.01,5560,165,600,4790
5350136.02,0136.02,5795,150,645,5000
5350137,0137.00,3955,75,430,3455
5350138,0138.00,1495,15,130,1350
5350139.01,0139.01,2290,35,215,2035
5350139.02,0139.02,1260,35,110,1110
5350140,0140.00,1150,10,115,1020
5350141.01,0141.01,2480,30,200,2255
5350141.02,0141.02,2335,10,210,2120
5350142,0142.00,2900,30,260,2605
5350150,0150.00,2185,50,235,1905
5350151,0151.00,2055,250,485,1320
5350152,0152.00,2540,115,395,2030
5350153,0153.00,2680,445,775,1460
5350154,0154.00,3380,470,925,1980
5350155,0155.00,1745,395,545,810
5350156.01,0156.01,3030,795,890,1345
5350156.02,0156.02,1560,395,400,770
5350157,0157.00,1480,300,405,775
5350158,0158.00,1695,325,445,920
5350159.01,0159.01,1925,640,485,800
5350159.02,0159.02,2955,630,860,1470
5350160,0160.00,1855,480,415,960
5350161,0161.00,4125,855,940,2330
5350162,0162.00,2705,440,655,1615
5350163,0163.00,2505,235,525,1750
5350164,0164.00,3470,275,545,2645
5350165,0165.00,2585,65,410,2115
5350166,0166.00,2105,30,265,1805
5350167.01,0167.01,1205,20,105,1080
5350167.02,0167.02,3500,105,575,2820
5350168,0168.00,3220,305,705,2215
5350169.01,0169.01,2110,230,470,1405
5350169.02,0169.02,4730,320,935,3470
5350170,0170.00,1960,400,465,1095
5350171,0171.00,1945,440,680,820
5350172,0172.00,1560,245,495,820
5350173,0173.00,2110,385,605,1125
5350174,0174.00,3930,735,1105,2090
5350175.01,0175.01,3305,705,965,1635
5350175.02,0175.02,5010,900,1570,2535
5350176,0176.00,2435,245,630,1560
5350180,0180.00,4010,445,860,2705
5350181.01,0181.01,2700,115,455,2125
5350181.02,0181.02,2035,195,445,1400
5350182,0182.00,3260,160,520,2580
5350183.01,0183.01,1395,90,210,1100
5350183.02,0183.02,2280,110,340,1835
5350184.01,0184.01,2785,215,470,2095
5350184.02,0184.02,2155,115,475,1565
5350185.01,0185.01,4210,345,905,2960
5350185.02,0185.02,2475,185,495,1795
5350186,0186.00,1215,0,155,1055
5350187,0187.00,1985,115,325,1545
5350188,0188.00,1000,40,180,780
5350189,0189.00,2900,310,670,1920
5350190.01,0190.01,4925,375,820,3730
5350190.02,0190.02,2745,415,725,1605
5350191,0191.00,2460,200,485,1780
5350192,0192.00,440,50,110,280
5350193,0193.00,1685,180,400,1105
5350194.01,0194.01,3745,770,1020,1955
5350194.02,0194.02,2275,290,585,1395
5350194.03,0194.03,1410,130,370,910
5350194.04,0194.04,3185,225,495,2465
5350195.01,0195.01,2305,75,250,1980
5350195.02,0195.02,1220,0,110,1105
5350196.01,0196.01,1030,10,85,930
5350196.02,0196.02,2890,30,285,2575
5350200.01,0200.01,3395,425,690,2285
5350200.02,0200.02,680,65,165,455
5350201,0201.00,3395,210,430,2765
5350202,0202.00,950,80,110,760
5350203,0203.00,2250,210,420,1625
5350204,0204.00,2550,180,575,1800
5350205,0205.00,,,,
5350206.01,0206.01,3285,200,590,2505
5350206.02,0206.02,3845,370,750,2720
5350207,0207.00,1605,115,435,1055
5350208,0208.00,2545,325,650,1565
5350209,0209.00,1610,140,390,1085
5350210.01,0210.01,1745,115,345,1285
5350210.03,0210.03,5800,90,670,5035
5350210.04,0210.04,6775,170,1050,5550
5350211,0211.00,3935,330,1035,2570
5350212,0212.00,3225,205,640,2380
5350213.01,0213.01,1405,20,245,1145
5350213.02,0213.02,4225,140,605,3485
5350214,0214.00,4550,180,670,3695
5350215,0215.00,4020,290,650,3080
5350216,0216.00,2825,35,405,2385
5350217,0217.00,3710,290,855,2560
5350218,0218.00,1380,10,110,1265
5350219,0219.00,2365,100,320,1945
5350220,0220.00,2210,145,470,1595
5350221.01,0221.01,2970,135,515,2325
5350221.02,0221.02,3140,345,715,2075
5350222.01,0222.01,4100,205,755,3135
5350222.02,0222.02,2545,205,515,1825
5350223.01,0223.01,765,20,130,615
5350223.02,0223.02,1175,20,215,940
5350224,0224.00,885,50,95,740
5350225.01,0225.01,2695,180,485,2030
5350225.02,0225.02,7080,345,1140,5595
5350226,0226.00,1420,0,110,1315
5350227,0227.00,870,10,60,805
5350228,0228.00,1410,30,125,1265
5350229,0229.00,570,0,45,525
5350230.01,0230.01,1300,35,190,1070
5350230.02,0230.02,3515,315,805,2390
5350231,0231.00,3175,115,525,2545
5350232,0232.00,1780,35,230,1520
5350233,0233.00,3000,110,465,2425
5350234,0234.00,2365,105,390,1870
5350235.01,0235.01,1505,70,305,1135
5350235.02,0235.02,2690,220,660,1810
5350236.01,0236.01,3745,280,880,2585
5350236.02,0236.02,3105,160,560,2380
5350237.01,0237.01,3335,485,760,2095
5350237.02,0237.02,1660,145,375,1135
5350237.03,0237.03,2955,305,750,1900
5350238.01,0238.01,1715,55,290,1370
5350238.02,0238.02,3040,390,835,1815
5350239,0239.00,3385,345,805,2240
5350240.01,0240.01,1690,65,270,1360
5350240.02,0240.02,2865,190,630,2045
5350241,0241.00,1500,130,370,1000
5350242,0242.00,775,110,175,485
5350243.01,0243.01,3140,800,915,1420
5350243.02,0243.02,1970,330,505,1145
5350244.01,0244.01,2040,225,600,1215
5350244.02,0244.02,3000,555,1000,1440
5350245,0245.00,3845,635,1150,2060
5350246,0246.00,1875,190,535,1155
5350247.01,0247.01,5185,495,1385,3295
5350247.02,0247.02,4025,560,855,2610
5350248.02,0248.02,2715,515,825,1375
5350248.03,0248.03,1545,235,365,945
5350248.04,0248.04,2660,310,625,1720
5350248.05,0248.05,2170,325,580,1260
5350249.01,0249.01,2335,380,710,1245
5350249.03,0249.03,3030,450,935,1640
5350249.04,0249.04,1410,195,335,880
5350249.05,0249.05,2945,745,635,1560
5350250.01,0250.01,2705,465,675,1560
5350250.02,0250.02,2595,410,615,1575
5350250.04,0250.04,3215,655,915,1650
5350250.05,0250.05,3915,1155,1185,1570
5350260.01,0260.01,3480,365,830,2285
5350260.04,0260.04,2010,375,490,1145
5350260.05,0260.05,2050,550,560,935
5350260.06,0260.06,2670,210,580,1885
5350260.07,0260.07,2015,160,385,1470
5350261,0261.00,2625,285,580,1760
5350262.01,0262.01,3290,340,695,2255
5350262.02,0262.02,3365,345,830,2185
5350263.02,0263.02,2040,60,315,1665
5350263.03,0263.03,2730,140,470,2120
5350263.04,0263.04,3245,165,545,2530
5350264,0264.00,575,0,70,500
5350265,0265.00,2230,20,195,2015
5350266,0266.00,1440,25,200,1215
5350267,0267.00,3015,75,325,2620
5350268,0268.00,3120,145,495,2470
5350269.01,0269.01,3210,240,740,2235
5350269.02,0269.02,1380,15,185,1180
5350270.01,0270.01,2605,185,530,1890
5350270.02,0270.02,2240,160,495,1585
5350271.01,0271.01,1305,90,220,995
5350271.02,0271.02,2460,300,510,1650
5350272.01,0272.01,3300,300,855,2140
5350272.02,0272.02,2645,195,475,1975
5350273.01,0273.01,1725,50,245,1440
5350273.02,0273.02,2050,50,245,1755
5350274.01,0274.01,2345,40,430,1870
5350274.02,0274.02,2550,55,305,2185
5350275,0275.00,2700,60,345,2300
5350276.01,0276.01,2980,95,495,2385
5350276.02,0276.02,3305,60,355,2885
5350277,0277.00,1810,35,325,1450
5350278,0278.00,3515,80,765,2670
5350279.01,0279.01,2345,280,435,1630
5350279.02,0279.02,2980,535,820,1620
5350280,0280.00,4025,790,1155,2080
5350281.01,0281.01,3460,705,1045,1715
5350281.02,0281.02,2140,485,610,1050
5350282,0282.00,2550,410,645,1485
5350283.01,0283.01,2750,525,820,1400
5350283.02,0283.02,2005,350,735,920
5350284,0284.00,3675,485,1020,2165
5350285,0285.00,1765,240,385,1135
5350286,0286.00,4105,405,795,2905
5350287.02,0287.02,3190,270,815,2100
5350287.03,0287.03,1400,170,410,820
5350287.04,0287.04,2365,75,420,1870
5350288,0288.00,6525,315,1150,5065
5350289,0289.00,2745,305,645,1795
5350290.01,0290.01,2090,305,705,1075
5350290.02,0290.02,1120,120,205,800
5350291.02,0291.02,2745,515,885,1345
5350291.03,0291.03,1535,175,460,900
5350291.04,0291.04,855,100,220,535
5350292,0292.00,4720,960,1415,2340
5350293,0293.00,3920,445,990,2480
5350294.01,0294.01,2155,425,590,1140
5350294.02,0294.02,2290,440,660,1185
5350295,0295.00,3160,425,965,1760
5350296,0296.00,1215,40,150,1025
5350297.01,0297.01,4100,195,870,3035
5350297.02,0297.02,3560,170,685,2715
5350298,0298.00,2440,75,375,1995
5350299.01,0299.01,3650,90,530,3025
5350299.02,0299.02,3155,70,310,2775
5350300.01,0300.01,2850,55,240,2560
5350300.02,0300.02,5420,80,480,4860
5350300.03,0300.03,1295,20,165,1110
5350301.01,0301.01,1530,45,260,1220
5350301.03,0301.03,5385,270,660,4460
5350301.04,0301.04,5825,205,680,4945
5350302.01,0302.01,3185,130,625,2430
5350302.02,0302.02,3055,235,720,2095
5350302.03,0302.03,1930,150,320,1460
5350303,0303.00,3660,235,700,2725
5350304.01,0304.01,2495,240,510,1745
5350304.02,0304.02,2410,50,205,2155
5350304.03,0304.03,1345,45,225,1080
5350304.04,0304.04,2100,160,350,1590
5350304.05,0304.05,1140,60,190,890
5350304.06,0304.06,3080,145,350,2585
5350305.01,0305.01,2235,25,295,1915
5350305.03,0305.03,2725,65,315,2345
5350305.05,0305.05,4370,70,435,3870
5350305.06,0305.06,3055,35,355,2665
5350306.01,0306.01,2440,135,390,1915
5350306.02,0306.02,2560,60,275,2225
5350307.03,0307.03,2995,65,295,2635
5350307.04,0307.04,4285,80,485,3720
5350307.05,0307.05,2275,25,230,2020
5350307.06,0307.06,3115,55,245,2815
5350307.07,0307.07,3500,95,455,2955
5350308.02,0308.02,2435,70,345,2025
5350308.03,0308.03,605,15,90,500
5350308.05,0308.05,1430,50,140,1240
5350308.06,0308.06,3135,80,320,2740
5350308.07,0308.07,2420,45,255,2120
5350309,0309.00,3450,255,710,2490
5350310.01,0310.01,1790,85,240,1460
5350310.02,0310.02,3045,240,645,2155
5350311.02,0311.02,3490,625,965,1900
5350311.03,0311.03,1295,180,320,790
5350311.04,0311.04,3520,535,1010,1975
5350311.05,0311.05,3855,520,900,2435
5350311.06,0311.06,3810,295,700,2815
5350312.02,0312.02,1910,540,585,790
5350312.03,0312.03,3400,790,1030,1585
5350312.04,0312.04,2665,935,870,870
5350312.05,0312.05,1910,590,635,680
5350312.06,0312.06,1870,410,670,790
5350312.07,0312.07,1525,270,510,745
5350313,0313.00,2990,495,905,1590
5350314.01,0314.01,3520,800,960,1755
5350314.02,0314.02,2650,455,690,1505
5350315.01,0315.01,1635,220,385,1035
5350315.02,0315.02,1615,385,470,755
5350315.03,0315.03,3000,465,950,1590
5350316.01,0316.01,1965,460,620,885
5350316.03,0316.03,3175,1065,995,1120
5350316.04,0316.04,2055,555,580,920
5350316.05,0316.05,2260,550,715,990
5350316.06,0316.06,1585,395,505,695
5350317.02,0317.02,3830,265,945,2625
5350317.03,0317.03,1895,65,280,1555
5350317.04,0317.04,3790,150,895,2745
5350317.05,0317.05,1150,25,210,915
5350318.01,0318.01,2855,125,495,2230
5350318.02,0318.02,2655,100,445,2110
5350319,0319.00,2510,170,525,1815
5350320.01,0320.01,2785,160,625,2000
5350320.02,0320.02,3120,165,630,2320
5350321.01,0321.01,2035,105,390,1545
5350321.02,0321.02,2280,95,360,1820
5350322.01,0322.01,3020,60,375,2590
5350322.02,0322.02,1580,45,225,1310
5350323.01,0323.01,2180,80,290,1810
5350323.02,0323.02,2020,65,285,1665
5350324.01,0324.01,1760,140,310,1310
5350324.02,0324.02,3125,165,405,2560
5350324.03,0324.03,1465,55,200,1205
5350324.05,0324.05,1575,50,190,1335
5350324.06,0324.06,1810,30,240,1545
5350330,0330.00,2095,75,395,1620
5350331.01,0331.01,2700,155,465,2085
5350331.03,0331.03,3100,475,870,1755
5350331.04,0331.04,1875,135,345,1395
5350332,0332.00,3935,555,1015,2365
5350333,0333.00,2540,220,585,1730
5350334,0334.00,1905,105,255,1545
5350335,0335.00,4115,375,970,2775
5350336,0336.00,3915,345,1020,2545
5350337.01,0337.01,715,125,160,430
5350337.02,0337.02,925,125,235,570
5350338,0338.00,3575,245,815,2515
5350339,0339.00,3680,115,665,2900
5350340,0340.00,3975,370,925,2675
5350341.02,0341.02,2510,295,615,1600
5350341.03,0341.03,1615,215,405,990
5350341.04,0341.04,3535,565,925,2045
5350342,0342.00,4395,465,970,2965
5350343,0343.00,2150,300,580,1270
5350344.01,0344.01,2755,420,665,1670
5350344.02,0344.02,1950,300,575,1075
5350345,0345.00,2290,190,545,1555
5350346.01,0346.01,2500,420,605,1480
5350346.02,0346.02,3080,290,760,2030
5350347,0347.00,1905,165,335,1415
5350348,0348.00,2895,190,590,2115
5350349,0349.00,3305,380,1010,1920
5350350,0350.00,2775,290,695,1785
5350351.01,0351.01,2825,350,835,1640
5350351.02,0351.02,1605,210,365,1030
5350352,0352.00,2895,280,675,1935
5350353.02,0353.02,2800,410,690,1695
5350353.03,0353.03,1625,125,385,1120
5350353.04,0353.04,2285,350,615,1320
5350354,0354.00,3005,265,765,1980
5350355.02,0355.02,2690,295,715,1675
5350355.04,0355.04,2710,270,770,1675
5350355.05,0355.05,1905,300,455,1145
5350355.06,0355.06,855,110,240,500
5350356,0356.00,2550,220,675,1650
5350357.01,0357.01,3210,675,865,1670
5350357.02,0357.02,2420,530,685,1205
5350358.01,0358.01,1880,175,525,1175
5350358.02,0358.02,2740,350,680,1705
5350358.03,0358.03,3100,435,830,1845
5350359,0359.00,4105,520,1200,2390
5350360,0360.00,3435,295,820,2320
5350361.01,0361.01,2935,95,565,2285
5350361.02,0361.02,3900,120,770,3010
5350362.01,0362.01,3375,255,770,2345
5350362.02,0362.02,3065,225,770,2080
5350362.03,0362.03,3365,195,790,2380
5350362.04,0362.04,2590,165,780,1640
5350363.02,0363.02,1640,105,440,1100
5350363.04,0363.04,2210,170,540,1505
5350363.05,0363.05,2505,355,615,1545
5350363.06,0363.06,4445,240,725,3480
5350363.07,0363.07,2820,430,760,1625
5350364.01,0364.01,3040,315,755,1975
5350364.02,0364.02,1505,140,345,1025
5350365,0365.00,4330,455,975,2895
5350366,0366.00,3355,435,830,2095
5350367.01,0367.01,2425,215,575,1640
5350367.02,0367.02,1920,210,490,1220
5350368.01,0368.01,3970,180,585,3200
5350368.02,0368.02,1990,175,565,1250
5350369,0369.00,4105,630,1000,2475
5350370.01,0370.01,5410,785,1345,3280
5350370.02,0370.02,3040,375,795,1865
5350370.03,0370.03,2320,280,605,1435
5350371,0371.00,4740,460,1170,3105
5350372,0372.00,2380,250,585,1540
5350373,0373.00,2720,220,705,1800
5350374.01,0374.01,3105,220,615,2270
5350374.02,0374.02,1705,220,285,1200
5350374.03,0374.03,2020,255,570,1195
5350375.01,0375.01,3130,365,645,2115
5350375.02,0375.02,900,30,180,695
5350375.03,0375.03,2815,365,575,1880
5350375.04,0375.04,3230,405,670,2155
5350375.05,0375.05,3645,290,715,2645
5350376.01,0376.01,2640,445,685,1510
5350376.02,0376.02,2640,445,720,1475
5350376.04,0376.04,2515,255,600,1655
5350376.05,0376.05,3305,795,800,1705
5350376.06,0376.06,40,10,20,15
5350376.08,0376.08,3025,395,730,1905
5350376.09,0376.09,2170,290,550,1330
5350376.11,0376.11,1685,255,450,980
5350376.12,0376.12,2575,245,515,1805
5350376.13,0376.13,1570,165,355,1050
5350376.14,0376.14,1935,410,490,1035
5350376.15,0376.15,1630,145,310,1180
5350376.16,0376.16,2060,260,375,1425
5350377.02,0377.02,2270,325,605,1340
5350377.03,0377.03,1415,250,260,900
5350377.04,0377.04,3120,715,845,1560
5350377.06,0377.06,1925,580,590,755
5350377.07,0377.07,2365,625,635,1105
5350377.08,0377.08,2700,420,575,1710
5350377.09,0377.09,3760,215,675,2875
5350378.02,0378.02,1560,260,385,910
5350378.03,0378.03,4560,460,1150,2950
5350378.04,0378.04,3165,375,835,1950
5350378.05,0378.05,2020,235,475,1310
5350378.06,0378.06,3160,440,835,1890
5350378.07,0378.07,3565,470,920,2175
5350378.08,0378.08,3315,630,950,1735
5350378.11,0378.11,3065,445,715,1910
5350378.12,0378.12,2720,435,710,1570
5350378.14,0378.14,1830,300,430,1090
5350378.16,0378.16,3095,470,855,1765
5350378.17,0378.17,1690,160,525,1005
5350378.18,0378.18,1290,185,360,740
5350378.19,0378.19,2605,495,800,1315
5350378.2,0378.20,925,160,305,460
5350378.21,0378.21,1860,465,460,935
5350378.22,0378.22,1755,450,450,855
5350378.23,0378.23,2095,315,455,1325
5350378.24,0378.24,2750,440,665,1650
5350378.25,0378.25,4030,615,1040,2370
5350378.26,0378.26,2730,475,730,1525
5350378.27,0378.27,3135,415,840,1880
5350378.28,0378.28,3625,500,1065,2060
5350400.02,0400.02,3010,120,600,2295
5350400.03,0400.03,1510,105,225,1175
5350400.04,0400.04,985,75,200,705
5350400.06,0400.06,1615,65,360,1190
5350400.07,0400.07,1615,70,295,1260
5350400.08,0400.08,1315,140,315,870
5350400.11,0400.11,3205,575,840,1795
5350400.12,0400.12,3545,260,820,2465
5350400.13,0400.13,3510,710,975,1825
5350400.14,0400.14,2995,705,785,1510
5350400.15,0400.15,2345,100,420,1825
5350400.16,0400.16,2840,190,540,2110
5350400.17,0400.17,2465,445,830,1195
5350400.18,0400.18,1260,380,295,580
5350400.19,0400.19,6260,345,1165,4745
5350400.2,0400.20,3060,265,535,2255
5350400.21,0400.21,1830,135,320,1375
5350400.22,0400.22,5480,580,1285,3610
5350400.23,0400.23,5885,845,1425,3610
5350401.04,0401.04,1695,310,420,965
5350401.05,0401.05,2020,110,275,1635
5350401.06,0401.06,3170,195,545,2430
5350401.07,0401.07,1965,50,240,1675
5350401.08,0401.08,1755,60,270,1425
5350401.09,0401.09,4130,190,730,3200
5350401.1,0401.10,2265,85,345,1835
5350401.11,0401.11,3385,570,935,1885
5350401.13,0401.13,3545,955,1080,1510
5350401.14,0401.14,3850,200,720,2935
5350401.15,0401.15,1310,100,235,980
5350401.17,0401.17,1645,240,430,970
5350401.18,0401.18,5535,415,920,4210
5350401.19,0401.19,3255,910,805,1545
5350401.2,0401.20,2155,500,695,955
5350401.21,0401.21,1540,335,455,745
5350401.22,0401.22,4435,555,1100,2775
5350401.23,0401.23,1015,140,275,605
5350402.01,0402.01,1225,25,165,1040
5350402.02,0402.02,3585,125,650,2805
5350402.03,0402.03,1390,40,205,1140
5350402.04,0402.04,2515,60,335,2115
5350402.05,0402.05,950,20,150,780
5350402.06,0402.06,3155,195,580,2380
5350402.07,0402.07,1105,40,145,915
5350402.08,0402.08,2625,60,290,2275
5350402.09,0402.09,1850,65,320,1465
5350402.1,0402.10,2180,75,310,1790
5350402.12,0402.12,3650,205,540,2905
5350402.13,0402.13,2200,25,225,1945
5350403.01,0403.01,3625,200,730,2690
5350403.04,0403.04,2400,140,315,1945
5350403.05,0403.05,2430,90,360,1980
5350403.07,0403.07,6850,515,1250,5085
5350403.09,0403.09,2675,170,445,2060
5350403.1,0403.10,3120,240,565,2320
5350403.11,0403.11,5830,530,1070,4235
5350403.12,0403.12,5455,370,955,4125
5350403.13,0403.13,3390,180,665,2550
5350403.14,0403.14,6340,500,1150,4690
5350403.15,0403.15,7015,345,880,5790
5350403.16,0403.16,2590,260,535,1795
5350410.02,0410.02,2255,130,430,1695
5350410.03,0410.03,3345,95,465,2785
5350410.04,0410.04,1735,50,295,1385
5350410.05,0410.05,3115,40,350,2725
5350410.07,0410.07,1720,75,180,1460
5350410.09,0410.09,2395,80,385,1930
5350410.1,0410.10,1660,65,210,1385
5350410.11,0410.11,1640,70,280,1290
5350410.12,0410.12,3360,125,590,2640
5350410.13,0410.13,3470,115,525,2825
5350410.14,0410.14,3090,70,415,2605
5350410.15,0410.15,940,55,215,665
5350411.01,0411.01,2905,230,595,2080
5350411.04,0411.04,2825,180,715,1930
5350411.07,0411.07,2505,165,560,1780
5350411.08,0411.08,4795,280,795,3710
5350411.09,0411.09,3485,165,700,2620
5350411.12,0411.12,3015,225,870,1925
5350411.15,0411.15,2285,225,550,1510
5350411.16,0411.16,3985,195,850,2940
5350411.17,0411.17,5575,180,725,4665
5350411.18,0411.18,6175,230,795,5155
5350411.19,0411.19,5415,120,675,4625
5350411.21,0411.21,1530,165,385,975
5350411.22,0411.22,2875,255,710,1905
5350411.23,0411.23,2580,225,505,1855
5350411.24,0411.24,3920,620,1015,2290
5350411.25,0411.25,1925,310,420,1195
5350411.26,0411.26,2920,265,665,1990
5350411.27,0411.27,2235,130,535,1565
5350411.28,0411.28,2700,70,280,2350
5350411.29,0411.29,3115,95,365,2655
5350411.3,0411.30,3850,125,510,3215
5350412.01,0412.01,3730,290,845,2595
5350412.02,0412.02,5400,600,1365,3440
5350412.04,0412.04,2205,210,570,1430
5350412.06,0412.06,1620,170,435,1015
5350412.08,0412.08,1140,115,300,725
5350412.1,0412.10,2880,290,920,1675
5350412.11,0412.11,2345,170,650,1535
5350412.12,0412.12,2150,190,480,1475
5350412.13,0412.13,2790,215,675,1900
5350412.14,0412.14,1850,65,355,1425
5350412.15,0412.15,2830,110,655,2065
5350412.18,0412.18,3565,195,785,2590
5350412.19,0412.19,4950,400,1135,3410
5350412.2,0412.20,3020,300,835,1885
5350412.21,0412.21,,,,
5350412.22,0412.22,4740,495,955,3290
5350412.24,0412.24,4940,585,1090,3260
5350412.25,0412.25,2970,335,715,1915
5350412.26,0412.26,3335,390,695,2245
5350413.01,0413.01,8970,600,1870,6495
5350413.02,0413.02,8245,725,1515,6005
5350420.03,0420.03,3825,305,675,2840
5350420.05,0420.05,4495,180,880,3435
5350420.06,0420.06,2665,135,380,2155
5350420.08,0420.08,2225,180,520,1520
5350420.09,0420.09,2645,130,435,2080
5350420.1,0420.10,1995,60,230,1705
5350420.11,0420.11,2885,50,455,2385
5350420.13,0420.13,3745,150,565,3025
5350420.14,0420.14,5325,175,820,4330
5350420.15,0420.15,1255,75,205,970
5350421.01,0421.01,3855,140,650,3065
5350421.04,0421.04,1845,65,440,1340
5350421.05,0421.05,1880,55,280,1545
5350421.06,0421.06,2305,100,405,1800
5350421.07,0421.07,2100,40,285,1770
5350422.02,0422.02,3380,260,805,2320
5350422.03,0422.03,3720,105,615,3000
5350422.04,0422.04,2025,90,305,1625
5350422.05,0422.05,3725,125,495,3105
5350422.06,0422.06,2665,220,565,1885
5350423.01,0423.01,1890,30,325,1540
5350423.02,0423.02,4300,180,825,3295
5350424.04,0424.04,1335,60,265,1010
5350424.05,0424.05,4385,220,745,3415
5350424.07,0424.07,4625,85,645,3905
5350424.08,0424.08,4045,95,535,3420
5350424.09,0424.09,2725,160,490,2075
5350424.1,0424.10,3470,100,655,2720
5350424.11,0424.11,4870,225,815,3820
5350424.13,0424.13,2775,90,500,2185
5350424.14,0424.14,7380,255,1110,6015
5350424.15,0424.15,5625,205,735,4685
5350424.16,0424.16,4930,95,725,4110
5350430.03,0430.03,2995,175,620,2200
5350430.05,0430.05,3875,270,755,2850
5350430.06,0430.06,4010,330,795,2885
5350430.07,0430.07,5660,370,1175,4120
5350430.08,0430.08,3050,140,685,2230
5350431.01,0431.01,2860,195,645,2010
5350431.02,0431.02,3355,185,695,2475
5350440,0440.00,4050,185,730,3140
5350441.02,0441.02,2155,140,460,1545
5350441.03,0441.03,3925,155,765,3005
5350441.04,0441.04,3275,90,615,2575
5350442.02,0442.02,2445,170,625,1655
5350442.03,0442.03,2815,40,450,2330
5350442.04,0442.04,1900,65,335,1500
5350442.05,0442.05,4010,190,700,3120
5350442.06,0442.06,9305,470,1495,7335
5350450.02,0450.02,1465,95,345,1025
5350450.03,0450.03,4410,315,855,3245
5350450.05,0450.05,3455,245,675,2535
5350450.06,0450.06,4510,130,760,3625
5350451.01,0451.01,1110,75,275,760
5350451.02,0451.02,2970,340,740,1895
5350451.03,0451.03,3675,245,805,2625
5350451.05,0451.05,3230,245,655,2330
5350451.06,0451.06,3710,165,700,2850
