GEO UID ,Census Tract name ,Total Education,No certificate,High (secondary) school,Postsecondary  Education
5350528.18,0528.18,3735,295,800,2650
5350528.19,0528.19,2855,215,595,2055
5350528.2,0528.20,2985,395,735,1860
5350528.21,0528.21,2120,225,555,1340
5350528.22,0528.22,3220,435,785,2000
5350528.24,0528.24,2620,185,650,1785
5350528.26,0528.26,4055,270,790,2990
5350528.31,0528.31,2850,295,680,1870
5350528.32,0528.32,2390,145,395,1850
5350528.33,0528.33,3445,150,605,2690
5350528.34,0528.34,3480,275,650,2550
5350528.35,0528.35,1745,85,425,1240
5350528.39,0528.39,3870,115,550,3205
5350528.4,0528.40,3345,230,565,2550
5350528.42,0528.42,2900,265,550,2085
5350528.43,0528.43,2655,135,455,2070
5350528.44,0528.44,1000,85,185,730
5350528.45,0528.45,2970,265,675,2035
5350528.46,0528.46,3845,265,745,2830
5350528.47,0528.47,2850,205,560,2080
5350528.49,0528.49,2645,190,360,2090
5350528.5,0528.50,1855,135,455,1265
5350528.51,0528.51,2140,210,515,1420
5350528.52,0528.52,3625,240,710,2675
5350528.53,0528.53,1360,50,235,1065
5350528.54,0528.54,1640,110,315,1215
5350528.55,0528.55,2730,255,655,1815
5350528.56,0528.56,1965,115,480,1375
5350528.57,0528.57,2265,210,375,1680
5350528.58,0528.58,2335,250,530,1555
5350528.59,0528.59,2360,180,455,1720
5350528.6,0528.60,2070,175,415,1475
5350528.61,0528.61,2130,130,300,1695
5350528.62,0528.62,815,110,225,485
5350528.63,0528.63,3455,285,680,2485
5350529.01,0529.01,2145,230,630,1285
5350529.02,0529.02,2435,365,615,1460
5350530.01,0530.01,2630,385,880,1365
5350530.02,0530.02,1755,265,530,960
5350531.01,0531.01,2315,340,650,1335
5350531.02,0531.02,3285,585,895,1805
5350532.01,0532.01,2170,285,685,1200
5350532.02,0532.02,2305,335,675,1290
5350540.01,0540.01,2805,220,635,1940
5350540.02,0540.02,3180,175,615,2395
5350550.01,0550.01,2510,125,585,1805
5350550.02,0550.02,4005,255,820,2925
5350560,0560.00,3620,455,1175,1995
5350561,0561.00,3850,410,1135,2310
5350562.02,0562.02,3460,245,875,2340
5350562.03,0562.03,2760,285,795,1680
5350562.04,0562.04,2410,215,700,1495
5350562.05,0562.05,3065,345,880,1840
5350562.06,0562.06,1700,145,400,1150
5350562.07,0562.07,2355,335,660,1360
5350562.08,0562.08,2285,295,695,1300
5350562.09,0562.09,2250,325,570,1355
5350562.11,0562.11,1775,210,590,980
5350562.12,0562.12,3960,450,1040,2475
5350562.13,0562.13,670,90,160,420
5350562.14,0562.14,2115,175,530,1405
5350562.15,0562.15,1940,210,615,1115
5350563.01,0563.01,3445,480,935,2020
5350563.02,0563.02,1630,110,470,1055
5350564.01,0564.01,1310,140,410,760
5350564.02,0564.02,2650,380,820,1445
5350570.01,0570.01,2240,350,665,1220
5350570.02,0570.02,2040,170,460,1410
5350571.01,0571.01,2115,420,590,1105
5350571.02,0571.02,2190,205,580,1405
5350572.01,0572.01,3840,440,1125,2280
5350572.04,0572.04,1690,145,485,1060
5350572.05,0572.05,3385,280,710,2395
5350572.07,0572.07,2425,200,625,1595
5350572.08,0572.08,2985,250,880,1850
5350572.09,0572.09,2715,295,645,1775
5350572.1,0572.10,2015,275,465,1270
5350573.03,0573.03,3475,425,955,2100
5350573.05,0573.05,3150,340,850,1960
5350573.06,0573.06,2660,245,825,1585
5350573.07,0573.07,3355,335,1015,2000
5350573.09,0573.09,3210,295,745,2170
5350573.1,0573.10,1730,105,415,1210
5350573.11,0573.11,2810,280,690,1840
5350574,0574.00,3490,215,920,2355
5350575.01,0575.01,3130,485,910,1735
5350575.02,0575.02,2685,415,770,1500
5350575.03,0575.03,3695,450,1075,2170
5350575.04,0575.04,3750,495,1210,2050
5350575.05,0575.05,3800,335,1090,2380
5350575.07,0575.07,2240,255,395,1585
5350575.08,0575.08,3235,340,795,2105
5350576.04,0576.04,2520,170,570,1775
5350576.05,0576.05,3710,380,995,2335
5350576.06,0576.06,4525,450,950,3135
5350576.07,0576.07,2445,220,580,1640
5350576.09,0576.09,1980,145,495,1335
5350576.16,0576.16,3415,495,835,2075
5350576.17,0576.17,3615,370,980,2265
5350576.2,0576.20,3550,530,1005,2020
5350576.22,0576.22,4035,475,1065,2495
5350576.29,0576.29,2405,230,515,1660
5350576.31,0576.31,2065,165,555,1345
5350576.33,0576.33,1410,95,290,1025
5350576.34,0576.34,3370,330,800,2240
5350576.43,0576.43,3470,310,810,2350
5350576.44,0576.44,1560,175,375,1015
5350576.45,0576.45,1535,200,415,920
5350576.46,0576.46,2890,270,815,1805
5350576.47,0576.47,2310,200,530,1585
5350576.49,0576.49,2865,220,700,1950
5350576.5,0576.50,3585,370,995,2220
5350576.52,0576.52,3245,330,810,2105
5350576.53,0576.53,2280,235,495,1550
5350576.54,0576.54,3155,330,635,2185
5350576.55,0576.55,3490,425,910,2160
5350576.57,0576.57,2105,215,575,1315
5350576.59,0576.59,3450,490,920,2035
5350576.62,0576.62,3820,775,925,2120
5350576.63,0576.63,3530,520,740,2270
5350576.65,0576.65,1715,240,405,1065
5350576.66,0576.66,3480,370,1015,2090
5350576.68,0576.68,2690,280,615,1790
5350576.69,0576.69,3145,265,770,2115
5350576.73,0576.73,1395,95,345,945
5350576.74,0576.74,4255,650,1000,2605
5350576.75,0576.75,3415,405,755,2255
5350576.76,0576.76,2630,205,775,1655
5350576.77,0576.77,2830,250,650,1935
5350576.78,0576.78,2670,300,725,1655
5350576.79,0576.79,1480,215,375,890
5350576.8,0576.80,1845,170,335,1340
5350576.81,0576.81,2560,275,530,1750
5350576.82,0576.82,2805,350,735,1715
5350576.83,0576.83,1385,230,330,830
5350576.84,0576.84,2925,395,605,1920
5350576.85,0576.85,3800,585,995,2225
5350576.86,0576.86,2440,270,600,1565
5350576.87,0576.87,2190,295,500,1390
5350576.88,0576.88,2285,340,635,1310
5350576.89,0576.89,2175,290,525,1355
5350576.9,0576.90,2085,90,435,1570
5350576.91,0576.91,7255,490,1145,5615
5350576.92,0576.92,2505,255,595,1655
5350576.93,0576.93,4580,445,1120,3015
5350576.94,0576.94,2415,350,525,1535
5350576.95,0576.95,2305,305,575,1435
5350576.96,0576.96,3640,415,855,2370
5350576.97,0576.97,2315,325,530,1460
5350576.98,0576.98,16245,1440,3270,11535
5350576.99,0576.99,3100,205,610,2280
5350577,0577.00,5055,360,870,3830
5350577.01,0577.01,1765,155,415,1200
5350577.02,0577.02,2875,310,515,2045
5350577.03,0577.03,3310,260,650,2390
5350577.04,0577.04,3715,175,655,2885
5350577.05,0577.05,2800,210,525,2065
5350577.06,0577.06,3165,225,585,2350
5350577.07,0577.07,2015,230,525,1265
5350577.08,0577.08,2385,165,655,1565
5350577.09,0577.09,1985,85,340,1555
5350585.02,0585.02,3315,315,965,2040
5350585.03,0585.03,2900,175,775,1950
5350585.05,0585.05,3835,225,945,2660
5350585.07,0585.07,3800,270,950,2575
5350585.08,0585.08,2245,105,495,1645
5350585.09,0585.09,3260,185,990,2085
5350585.1,0585.10,2560,245,825,1490
5350586.02,0586.02,1650,140,400,1100
